Haltestelle;Linie;Status;Ausstieg;Aufzug;Rolltreppe
Mommsenstraße;9;barrierefrei;;;
Mühlengasse;7;barrierefrei;;;
Mülheim Berliner Straße;4;barrierefrei;;;
Mülheim Wiener Platz;4, 13, 18;barrierefrei;;;
Nesselrodestraße;16;barrierefrei;;;
Neuenweg;1;barrierefrei;;;
Neufelder Straße;3, 13;barrierefrei;;;
Neumarkt;1, 3, 4, 7, 9, 16, 18;barrierefrei;;;
Neusser Straße/Gürtel;12, 13, 15;barrierefrei;;;
Niehl Nord;12;barrierefrei;;;
Niehl Sebastianstraße;16;barrierefrei;;;
Nußbaumerstraße;5, 13;nicht barrierefrei;;;
Odenthaler Straße;4;barrierefrei;;;
Ollenhauerring;3;barrierefrei;;;
Ostheim;9;barrierefrei;;;
Piusstraße;3, 4;barrierefrei;;;
Pohligstraße;12;barrierefrei;;;
Poll Salmstraße;7;barrierefrei;;;
Poller Kirchweg;7;barrierefrei;;;
Porz Markt;7;barrierefrei;;;
Porz Steinstraße;7;barrierefrei;;;
Porzer Straße;9;barrierefrei;;;
Poststraße;3, 4, 16, 18;barrierefrei;;;
Raiffeisenstraße;7;barrierefrei;;;
Rath/Heumar;9;barrierefrei;;;
Rathaus;5;barrierefrei;;;
Refrath;1;barrierefrei;;;
Reichenspergerplatz;16, 18;nicht barrierefrei;;;
Rektor-Klein-Straße;5;barrierefrei;;;
RheinEnergieSTADION;1;barrierefrei;;;
Rochusplatz;3, 4;barrierefrei;;;
Rodenkirchen;16, 17;barrierefrei;;;
Rosenhügel;7;barrierefrei;;;
Rudolfplatz;1, 7, 12, 15;barrierefrei;;;
Schaffrathsgasse;3;barrierefrei;;;
Scheibenstraße;12, 15;barrierefrei;;;
Schlebusch;4;barrierefrei;;;
Schönhauser Straße;16, 17;barrierefrei;;;
Severinsbrücke;7;barrierefrei;;;
Severinstraße;3, 4, 17;barrierefrei;;;
Siegstraße;16, 17;barrierefrei;;;
Slabystraße;13, 18;nicht barrierefrei;;;
Sparkasse Am Butzweilerhof;5;barrierefrei;;;
Sportpark Höhenberg;1;eingeschraenkt barrierefrei;;;
Stegerwaldsiedlung;3, 4;barrierefrei;;;
Steinweg;9;barrierefrei;;;
Stüttgenhof;7;eingeschraenkt barrierefrei;;;
Subbelrather Straße/Gürtel;5, 13;nicht barrierefrei;;;
Suevenstraße;3, 4;barrierefrei;;;
Sülz Hermeskeiler Platz;9;barrierefrei;;;
Sülzburgstraße;18;barrierefrei;;;
Sülzgürtel;13, 18;barrierefrei;;;
Sürth;16, 17;barrierefrei;;;
Thielenbruch;3, 13;barrierefrei;;;
Ubierring;15;barrierefrei;;;
Ubierring;16;nicht barrierefrei;;;
Ulrepforte;15;barrierefrei;;;
