Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
NSG;Neusser Straße/Gürtel;15;1;Chorweiler;JA;Hochbahn;;JA;JA;;A1: (U) Fahrtrichtung: Florastr. - Zollstock - Chlodwigplatz <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Amsterdamer Str. - Mülheim | A2: Fahrtrichtung: Mollwitzstr. - Merkenich - Chorweiler <> Ausgang Neusser Str. <> (H) Fahrtrichtung: Geldernstr. - Venloer Str./Gürtel - Sülzgürtel
OBU;Bayenthalgürtel;16;;;JA;Straße;;;;;
OBU;Bayenthalgürtel;17;;;JA;Straße;;;;;
ODS;Odenthaler Straße;4;;;JA;;;;;;
OHR;Ollenhauerring;3;;;JA;;;;;;
OJS;Melatengürtel;13;;;NEIN;Straße;;;;;
OSH;Ostheim;9;;;JA;;;;;;
PAB;Poll Baumschulenweg;7;;;JA;Straße;;;;;
PIU;Piusstraße;3;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
PIU;Piusstraße;4;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
PKI;Poller Kirchweg;7;;;JA;Straße;;;;;
POH;Pohligstraße;12;;;JA;Straße;;;;;
POS;Poll Salmstraße;7;;;JA;Straße;;;;;
POZ;Porzer Straße;9;;;JA;Straße;;;;;
PSS;Poststraße;16;;;JA;Straße;;;;;A1: Fahrtrichtung: Neumarkt | A2: Fahrtrichtung: Suevenstr. / Barbarossaplatz
PSS;Poststraße;18;;;JA;Straße;;;;;A1: Fahrtrichtung: Neumarkt | A2: Fahrtrichtung: Suevenstr. / Barbarossaplatz
