Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
DOM;Dom/Hbf;16;1;Niehl Sebastianstr.;JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;16;2;Niehl Sebastianstr.;JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;16;2;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;16;3;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;18;1;Buchheim Herler Str. [Reichenspergerplatz];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;18;2;Buchheim Herler Str. [Reichenspergerplatz];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;18;2;Bonn Hbf [Klettenbergpark | Schwadorf];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;18;3;Bonn Hbf [Klettenbergpark | Schwadorf];JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DOM;Dom/Hbf;5;3;Heumarkt;JA;U-Bahn;No steps;JA;JA;;A1: Fahrtrichtung: Breslauer Platz - Mülheim | A2: Fahrtrichtung: Appellhofplatz - Bonn | A3: Oberfläche <> Zwischenebene | A4: Zwischenebene <> Hauptbahnhof
DRE;Drehbrücke;7;;;JA;Straße;No steps;;;;
DSG;Dürener Straße/Gürtel;13;;;NEIN;Straße;High steps;;;;
DSG;Dürener Straße/Gürtel;7;;;JA;Straße;No steps;;;;
DZB;Deutz Technische Hochschule;1;;;JA;U-Bahn;;;;;
DZB;Deutz Technische Hochschule;9;;;JA;U-Bahn;;;;;
DZF;Deutzer Freiheit;1;;;eingeschraenkt;U-Bahn;;;;;
DZF;Deutzer Freiheit;7;;;JA;U-Bahn;;;;;
DZF;Deutzer Freiheit;9;;;eingeschraenkt;U-Bahn;;;;;
EBP;Ebertplatz;12;4;Zollstock Südfriedhof;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Zoo/Flora - Lohsestr. - Niehl | A2: Fahrtrichtung: Hansaring - Dom/Hbf - Bonn
EBP;Ebertplatz;15;4;Ubierring;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Zoo/Flora - Lohsestr. - Niehl | A2: Fahrtrichtung: Hansaring - Dom/Hbf - Bonn
EBP;Ebertplatz;16;1;Niehl Sebastianstr.;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Zoo/Flora - Lohsestr. - Niehl | A2: Fahrtrichtung: Hansaring - Dom/Hbf - Bonn
EBP;Ebertplatz;16;3;Bad Godesberg Stadthalle [Ubierring |;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Zoo/Flora - Lohsestr. - Niehl | A2: Fahrtrichtung: Hansaring - Dom/Hbf - Bonn
EBP;Ebertplatz;18;1;Buchheim Herler Str. [Reichenspergerplatz];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Zoo/Flora - Lohsestr. - Niehl | A2: Fahrtrichtung: Hansaring - Dom/Hbf - Bonn
ECH;Escher Straße;13;;;NEIN;Hochbahn;;;;;
EFR;Efferen;18;;;JA;;;;;;
EFS;Eifelstraße;12;;;JA;Straße;;;;;
EFS;Eifelstraße;15;;;JA;Straße;;;;;
EFS;Eifelstraße;16;;;NEIN;Straße;;;;;
EFW;Eifelwall/Stadtarchiv;18;;;JA;Straße;;;;;
EGI;Ensen Gilgaustraße;7;;;JA;;;;;;
EIF;Eifelplatz;12;;;JA;Straße;;;;;
EKL;Ensen Kloster;7;;;JA;;;;;;
EUP;Eupener Straße;1;;;JA;;;;;;
EUS;Euskirchener Straße;13;;;NEIN;;;;;;
FDS;Fuldaer Straße;1;;;NEIN;;;;;;
FIB;Fischenich;18;;;JA;;;;;;
FKF;Frankenforst;1;;;JA;;;;;;
FLE;Flehbachstraße;1;;;JA;;;;;;
FLO;Florastraße;12;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Lohsestr. - Zollstock - Chlodwigplatz | A2: Fahrtrichtung: Neusser Str./Gürtel - Chroweiler - Merkenich
FLO;Florastraße;15;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Lohsestr. - Zollstock - Chlodwigplatz | A2: Fahrtrichtung: Neusser Str./Gürtel - Chroweiler - Merkenich
FRB;Frechen Bf;7;;;JA;;;;;;
FRK;Frechen Kirche;7;;;JA;;;;;;
FRR;Frechen Rathaus;7;;;JA;;;;;;
FSP;Friesenplatz;12;4;Merkenich [NiehlNord];NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;15;3;Ubierring;NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;15;4;Chorweiler [Longerich Friedhof];NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;3;1;Görlinger-Zentrum;NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;3;2;Thielenbruch;NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;4;1;Bocklemünd [Rochusplatz];NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;4;2;Schlebusch;NEIN;U-Bahn;;NEIN;JA;;
FSP;Friesenplatz;5;1;Sparkasse Am Butzweilerhof;NEIN;U-Bahn;;NEIN;JA;;
FWM;Fordwerke Mitte;12;;;JA;;;;;;
